 User_ID 	Br_Area 	Br_ DArea	Rb_Area 	Rb_ DArea	Sr_Area 	Sr_ DArea	Zr_Area 	Zr_ DArea	Ru_Area 	Ru_ DArea	Rh_Area 	Rh_ DArea	Mg_Area 	Mg_ DArea	Al_Area 	Al_ DArea	Si_Area 	Si_ DArea	S_Area 	S_ DArea	K_Area 	K_ DArea	Ca_Area 	Ca_ DArea	Ti_Area 	Ti_ DArea	Fe_Area 	Fe_ DArea
1748	1182	39	881	46	27596	174	2829	172	13007	229	15068	241	96	15	1456	43	14573	124	1959	63	8299	116	271504	527	2962	79	22254	170
1749	1070	38	878	46	27451	173	3143	172	13100	226	15090	240	102	16	1534	44	15194	127	1968	62	8412	115	276184	531	2840	78	21987	169
1750	1100	38	829	45	27848	174	3020	178	13149	228	15305	242	194	17	1650	45	16532	132	1643	60	8682	117	281027	536	2999	80	21029	166
1751	1203	39	775	45	26743	171	2816	176	13364	229	15534	242	103	16	1563	44	14954	126	2125	64	8332	116	271336	527	2960	78	22003	170
1752	1218	40	791	45	26852	172	2880	155	13295	228	14997	240	160	16	1597	44	15380	127	1757	61	8561	115	273131	528	3206	79	21615	168
1753	1234	40	882	46	26142	170	3337	175	13138	228	15511	241	150	17	1572	44	15785	129	2132	65	9060	118	270713	526	3131	80	22661	172
1754	1242	40	848	45	25823	168	3119	172	13299	226	15228	239	117	16	1618	45	15455	128	2016	63	8599	116	266577	522	3146	80	22711	171
1755	1230	41	787	46	25326	167	3041	174	13357	227	15115	239	149	16	1512	43	15200	127	1844	61	8520	115	259615	515	2999	79	21305	167
1756	1180	40	741	44	25387	167	2970	152	13205	224	15123	237	117	15	1382	42	13981	122	1981	62	8183	115	255604	511	3056	79	22339	170
1757	1222	1	845	1	25506	5	2795	3	12855	7	15080	7	120	15	1479	43	14249	123	1968	62	8129	115	257868	514	3025	79	21262	167
1758	1222	39	762	43	24250	163	2712	115	13010	219	15099	232	115	15	1062	37	10519	106	2274	64	6438	105	214753	469	2524	75	21824	168
1759	1216	40	792	44	26070	169	2611	170	12778	226	15145	238	87	14	1407	42	14259	122	2095	64	8109	114	261027	517	2944	78	21434	167
1760	1146	39	837	44	26483	170	2611	172	12973	225	15482	240	134	17	1492	44	15334	127	1827	62	8248	114	271607	527	3010	77	20381	164
1761	1294	40	756	44	26217	170	2328	169	12851	227	15106	239	130	16	1426	42	13729	120	1878	61	7946	113	258201	514	2863	78	20792	165
1762	1354	41	745	45	25974	169	2796	172	12917	227	15238	239	134	16	1497	43	14489	123	2097	64	8293	114	261503	517	2985	78	22538	171
1763	1204	40	818	45	25683	168	2810	171	13256	226	15035	238	150	15	1561	43	14589	124	2277	65	8228	116	263012	519	3195	79	24210	176
1764	1275	41	768	44	26177	169	2997	173	13113	227	15025	238	112	16	1523	44	14744	124	2026	63	8234	116	266206	522	3103	79	21856	169
1765	1335	41	832	46	25533	168	2653	118	13195	226	15030	239	113	16	1356	42	13952	122	2014	63	8142	114	260680	516	2860	78	23170	172
1766	1309	41	767	44	26427	171	2550	170	13542	229	15244	238	142	17	1422	43	14364	123	1807	61	8168	114	265519	521	2930	78	20863	166
1771	1067	38	763	45	30772	183	2469	119	13497	227	15374	241	103	14	1188	39	12023	113	1713	61	7430	112	264400	520	2496	76	19308	161
1772	1114	39	827	45	30356	182	2177	172	13679	230	15205	243	124	15	1341	41	12873	117	1932	62	8039	114	269451	525	2743	77	20680	165
1773	820	34	737	44	31327	185	2372	168	13152	223	15741	240	138	16	1274	40	12440	115	1403	59	7282	111	272908	528	2522	76	17201	154
1774	827	1	794	1	29759	6	2236	3	13365	7	15518	7	115	15	1352	42	13061	118	1552	59	7637	113	288940	543	2312	73	17461	154
1775	743	33	792	43	31237	184	2019	116	13327	221	15835	238	143	16	1473	42	14085	122	1580	59	8025	115	291427	545	2428	75	18255	157
1776	748	33	761	44	30563	183	2413	151	13499	224	15659	239	123	15	1349	41	12919	117	1603	60	7739	113	283380	538	2360	75	18391	157
1777	792	34	792	43	30913	183	2460	167	12993	224	15882	240	116	16	1330	42	12889	117	1603	59	7654	112	286903	541	2614	75	17793	155
1778	760	33	821	44	30585	182	2477	153	13038	224	15532	241	96	15	1451	43	14050	122	2408	66	8422	117	292472	546	2622	77	19797	163
1779	828	34	850	45	30238	181	2490	172	13448	225	16206	242	122	17	1473	44	14562	124	1687	61	8103	116	285614	540	2600	77	18591	158
1780	793	33	813	45	30101	181	2545	169	13117	225	16052	241	137	16	1499	43	14610	124	1516	60	8443	116	290595	545	2712	78	19057	161
1781	906	36	834	45	29068	179	2229	170	13406	228	15884	243	158	17	1522	44	14403	123	1719	61	8644	117	285112	540	2553	77	19509	161
1782	1061	37	805	45	28717	177	2190	151	13277	227	15804	242	119	16	1289	40	12548	115	2102	64	7587	113	275693	531	2457	77	18672	160
1783	1260	40	800	45	27272	173	2513	152	13630	229	15338	242	105	15	1111	38	10961	108	1974	63	7266	111	255962	512	2440	76	18204	158
1784	1336	1	804	1	23773	5	2280	3	11294	7	14336	7	90	0	809	1	7454	3	1722	2	5325	3	184891	14	1983	2	16307	5
1785	1444	43	808	44	26173	169	2478	172	12937	230	14529	239	62	14	682	31	7224	89	1977	62	5985	103	205842	460	2403	76	19564	163
1786	1201	40	716	45	27382	174	2101	171	13603	229	14979	238	85	14	969	36	9404	101	2066	63	6682	108	238863	495	2442	76	17583	156
1787	1191	40	754	44	27394	173	2101	105	13523	221	14548	234	84	0	984	1	9823	3	1736	2	6857	3	257247	16	2315	2	16418	5
1788	1165	39	758	44	26871	172	1828	170	13135	227	14659	237	70	14	840	34	8085	94	1898	62	5887	105	243732	500	1918	73	15866	150
1789	1176	39	567	42	26343	170	1626	104	12609	217	14353	232	100	14	869	34	8842	98	1851	62	6010	105	249028	505	2125	72	16008	150
1790	1119	39	706	43	26386	171	1510	165	12997	224	14183	235	89	14	852	34	8760	97	2128	63	6183	105	247728	504	1949	73	16092	150
1791	1122	38	732	44	26285	170	1801	146	13112	223	14209	233	71	13	699	31	6728	86	2078	62	5544	101	228342	483	1997	71	15661	150
1792	1094	38	703	43	27131	172	1884	103	13229	220	14751	234	69	14	896	35	9446	101	1847	62	6320	107	260077	516	2172	73	16807	153
1793	1227	39	677	43	27736	174	1943	105	13529	223	14755	235	115	15	905	35	9565	101	2291	65	6275	106	262661	518	2094	74	17154	155
1794	1071	38	817	43	27382	172	1864	104	13418	221	15135	236	104	15	985	36	9878	103	1989	64	6396	108	264171	520	2107	74	17172	154
1795	1218	40	657	44	27021	172	2138	106	13543	221	14797	235	73	15	772	33	8454	96	2414	66	5773	105	242166	498	2029	74	17997	158
1796	1168	39	713	43	26581	170	1728	104	13171	220	14410	233	92	15	864	35	9277	100	2247	66	6455	107	251160	507	2195	73	17704	156
1797	1180	1	722	1	26326	5	1845	3	13283	7	14535	7	71	14	780	33	7755	92	2223	65	5841	103	230542	486	2017	73	16259	152
1798	1300	40	751	45	27617	175	1952	150	13249	228	14804	237	86	0	988	1	10525	3	2254	2	6861	3	266122	16	2219	2	19153	5
1799	1251	41	762	45	28241	176	1985	150	12946	227	15217	239	100	15	925	36	9881	103	2364	67	6793	109	262138	518	2244	75	18229	159
1800	1233	39	771	45	28264	176	2216	151	13474	228	14650	240	114	16	1154	39	11585	111	2028	65	7291	112	282131	537	2383	75	18829	160
1801	997	37	736	44	29258	179	2138	150	13241	226	15402	240	114	15	1249	40	12377	115	2229	67	7426	114	284990	540	2598	77	19435	162
1802	949	36	753	44	29988	181	2239	170	12936	226	15287	241	150	16	1324	41	13474	119	1906	64	7959	114	287235	542	2484	77	19213	161
1803	826	34	743	44	29943	181	1887	172	13253	226	15597	241	133	15	1344	41	13142	118	2080	64	7868	114	291191	545	2702	77	19094	161
1804	811	34	843	44	29754	180	2008	169	13031	226	15184	241	112	15	1452	43	13276	119	2025	64	7919	115	294369	548	2660	77	19815	163
1805	891	35	743	44	31056	184	2066	168	13441	227	15647	240	148	15	1410	41	12723	116	1903	63	7688	113	302791	556	2403	76	17726	156
1806	801	1	756	1	31515	6	2149	3	13216	7	15471	8	132	16	1293	40	13580	119	2042	65	7659	115	316009	568	2476	76	17619	156
1807	837	35	788	44	30076	181	1905	171	12786	225	15357	241	121	16	1220	40	12087	114	2667	71	7031	111	301157	554	2276	75	17007	153
1808	839	34	651	42	30295	181	2021	167	12699	223	16029	239	124	15	1493	43	13713	120	2634	70	8017	115	317738	569	2450	75	19917	163
1809	888	1	763	1	31918	6	1988	3	13107	7	16002	8	130	16	1262	41	12859	117	1874	64	7505	114	326732	577	2451	75	18671	159
1810	963	36	794	45	31887	186	2233	171	13263	228	15827	244	93	15	1235	40	12202	114	1966	64	7623	114	312020	564	2379	77	18636	160
1811	938	37	731	44	31698	186	2261	152	13217	225	15573	241	115	16	1328	42	13536	120	1810	64	7681	116	325990	577	2423	76	19123	160
1812	995	37	892	45	31256	185	1957	173	13699	229	15360	243	110	16	1359	42	13567	120	1922	64	7966	116	320581	572	2585	76	18415	159
1813	1005	37	769	45	31108	184	2325	109	13328	225	15609	241	94	16	1157	39	12271	114	1982	64	7666	114	305274	558	2545	77	18349	159
1814	956	37	809	45	30022	182	2347	174	13663	230	15604	243	120	18	1199	40	12407	115	1912	65	7564	114	311796	564	2491	76	18933	160
1815	1024	1	844	1	29237	6	2661	3	13370	7	14751	8	125	16	1328	41	13143	118	1837	64	7743	116	289378	544	2772	78	19804	163
1816	921	1	800	1	28670	6	2324	3	13945	7	14608	7	113	16	1240	40	12663	116	1831	62	7703	114	291477	545	2625	76	18932	160
1817	1080	38	852	45	27329	173	2637	171	13680	229	14895	238	141	16	1254	40	12467	115	2033	63	7806	114	278699	534	2760	78	20451	165
1818	1119	38	913	47	26577	171	2777	172	13222	227	15162	239	140	16	1417	42	13195	118	2173	65	8305	116	280251	535	2865	78	21476	168
1819	1060	37	884	46	28088	175	2436	174	13431	229	14901	241	146	17	1533	44	15019	126	2154	65	8998	120	285272	540	3169	81	24126	176
1820	1017	37	891	46	28906	178	2471	175	13786	231	14843	243	117	15	1433	42	14015	122	2039	64	8637	118	291868	546	3014	80	21556	169
1821	1161	38	873	46	27889	175	2873	111	14094	227	15117	240	148	17	1651	45	16220	130	2115	65	9121	120	296830	551	3219	80	22759	173
1822	1011	37	924	47	27955	175	2943	178	13935	232	14934	243	135	18	1837	48	17428	136	1858	63	9767	123	295151	549	3272	81	23268	174
1823	1163	1	1097	2	24898	5	2997	3	14029	7	15953	8	132	16	1812	47	17380	135	2883	71	9813	123	267548	524	3530	84	28829	191
1824	1297	42	1207	50	24248	164	3734	183	14056	237	15932	249	168	17	2054	49	18565	139	2382	67	10316	125	256098	512	3850	85	31066	197
1825	1420	43	1163	50	23753	162	3854	160	13794	236	15755	247	145	17	2070	50	20117	145	1914	63	10764	126	246282	503	4087	88	29082	191
1826	1309	42	1161	50	23818	162	3871	183	14188	237	16166	247	174	17	2061	49	19444	142	1808	61	10588	126	252038	509	3976	85	28174	189
1827	1571	45	1167	50	22543	158	4443	185	13426	239	15611	248	165	18	2130	51	19748	144	2386	66	10743	126	237171	494	4217	88	30808	196
1828	1657	45	1238	52	21190	155	4274	185	14264	242	15837	250	172	18	2106	50	20792	147	2043	63	10969	127	219421	476	4434	90	32195	200
1829	1585	44	1183	50	22994	160	3823	159	14033	237	15794	247	168	18	2069	50	20313	145	2204	63	10726	126	234819	491	4198	88	30376	195
1830	1693	45	1113	50	21953	156	3845	113	14031	231	15832	245	165	18	2113	50	20867	147	2079	64	10897	127	225903	482	4334	89	31349	198
1831	1582	44	1232	51	22204	158	3721	180	13492	238	15741	249	148	17	2019	50	19455	143	2142	64	10494	125	233449	490	4055	86	29747	193
1832	1662	45	1201	50	22311	158	3461	178	13635	238	15596	247	116	17	1777	47	17626	136	2590	67	10062	123	237491	494	3642	84	30096	194
1833	1624	45	1041	49	22401	158	3615	176	13886	236	15374	245	141	16	1874	47	17717	136	2389	65	9623	122	235651	492	3723	84	27982	188
1834	1749	46	1032	48	22930	159	3224	120	13741	231	15373	243	151	18	1815	48	18117	138	2046	64	9864	123	249723	506	3737	84	27263	186
1835	1786	47	1111	50	23300	162	3520	179	13722	240	15298	247	164	16	1969	48	19216	142	2087	64	9842	123	251897	509	3805	84	27555	186
1836	1684	45	983	47	24136	164	3287	173	13577	234	16017	245	148	17	1800	47	17190	134	2310	66	9350	120	257694	514	3351	82	26741	185
1837	1781	47	968	48	23808	162	3195	175	13212	234	15490	243	176	17	1884	48	17523	135	2277	66	9539	120	263678	519	3458	82	27673	187
1838	1666	45	901	47	24542	165	2846	174	13285	236	15547	245	149	17	1596	45	17077	134	2529	67	9495	121	263361	519	3290	81	27572	187
1839	2030	49	1035	48	22832	159	3279	118	13054	228	15456	242	125	15	1780	46	16946	133	3037	71	9658	121	246119	502	3410	83	37020	212
1840	2417	53	1160	51	24228	164	3508	160	14145	244	15854	249	159	16	1861	47	17454	135	1853	63	9863	122	245610	502	3753	85	25856	182
