Age (ka)	LOG(Ca/K+Ti+Fe)
256.2435	1.48816254
256.9935	1.5367734
257.7435	1.512247878
258.4935	1.523247093
259.2435	1.51924024
259.9935	1.461762139
260.7435	1.50830181
261.4935	1.504278753
262.2435	1.439267743
262.9935	1.45223592
263.7435	1.414321818
264.4935	1.33259756
265.2435	1.313883021
265.9935	1.455597481
266.7435	1.451987929
267.4935	1.438865339
268.2435	1.522243666
268.9935	1.36824235
269.7435	1.387369296
270.4935	1.381335706
271.2435	1.360126993
271.9935	1.335320482
272.7435	1.373888483
273.4935	1.317000634
274.2435	1.374722625
274.9935	1.316332277
275.7435	1.346026466
276.4935	1.376815022
277.2435	1.367204605
277.9935	1.419082867
278.7435	1.470211899
279.4935	1.395601376
280.2435	1.577486836
280.9935	1.642249814
281.7435	1.464193744
282.4935	1.544641538
283.2435	1.627250518
283.9935	1.691384202
284.7435	1.630603662
285.5645866	1.63843095
286.4226209	1.650390927
287.2806552	1.514392533
288.1386895	1.582402663
288.9967239	1.56764967
289.8547582	1.597246254
290.7127925	1.610852376
291.5708268	1.594865477
292.4288612	1.673497173
293.2868955	1.673675435
294.1449298	1.665574691
295.0029641	1.685572792
295.8609984	1.677964606
296.7190328	1.719827594
297.5770671	1.711989441
298.4351014	1.718616378
299.2931357	1.693402977
300.15117	1.715338145
301.0092044	1.708898933
301.8672387	1.746072985
302.725273	1.700439565
303.5833073	1.68009807
304.4413417	1.720085128
305.299376	1.678596406
306.1574103	1.653146676
307.0154446	1.660288107
307.8734789	1.649421976
308.7315133	1.640565381
309.5895476	1.598884654
310.4475819	1.630850872
311.3056162	1.630476243
312.1636505	1.603114344
313.0216849	1.584917137
313.8797192	1.593474117
314.7377535	1.581894936
315.5957878	1.608913268
316.4538222	1.573282352
317.3118565	1.615471504
318.1698908	1.604239511
319.0279251	1.656529084
319.8859594	1.691491988
320.7439938	1.633081418
321.6020281	1.647085981
322.4600624	1.673683232
323.3180967	1.715691592
324.176131	1.685564873
325.0341654	1.745637387
325.8921997	1.719126458
326.750234	1.756921709
327.6082683	1.631038361
328.4663027	1.624934588
329.324337	1.587366951
330.1823713	1.587919865
331.0404056	1.587997959
331.8984399	1.598736422
332.7564743	1.571519036
333.6145086	1.484836754
334.4725429	1.509981196
335.3305772	1.4808758
336.1886115	1.474032133
337.0466459	1.479917423
337.9046802	1.387473275
338.7627145	1.38411687
339.6207488	1.353439322
340.4729666	1.397012292
341.3205771	1.376802684
342.1681876	1.443874216
343.015798	1.37455237
343.8634085	1.389880629
344.7110189	1.434029063
345.5586294	1.327537947
346.4062399	1.419722642
347.2538503	1.417477315
348.1014608	1.437801541
348.9490712	1.39868428
349.7966817	1.473143053
350.6442922	1.479234708
351.4919026	1.520687769
352.3395131	1.478459497
353.1871235	1.489481691
354.034734	1.574239783
354.8823445	1.479767031
355.7299549	1.528125428
356.5775654	1.520110949
357.4251758	1.497328028
358.2727863	1.507355834
359.1203968	1.459540002
359.9680072	1.471202861
360.8156177	1.48515954
361.6632281	1.471916223
362.5108386	1.433237105
363.3584491	1.471895389
364.2060595	1.448574349
365.05367	1.492486344
365.9012804	1.478299723
366.7488909	1.538418966
367.5965014	1.522072235
368.4441118	1.554591596
369.2917223	1.576297485
370.1393327	1.57963611
370.9869432	1.591344767
371.8345537	1.623238606
372.6821641	1.608051713
373.5297746	1.6029094
374.377385	1.633063959
375.2249955	1.610273816
376.072606	1.635711516
376.9202164	1.667471891
377.7678269	1.626705319
378.6154373	1.638389334
379.4630478	1.665735444
380.3106583	1.670717328
381.1582687	1.682351109
382.0058792	1.682716761
382.8534896	1.666512977
383.7011001	1.650309194
384.5487106	1.681161318
385.396321	1.631276927
386.2439315	1.628910151
387.0915419	1.686045873
387.9391524	1.648056191
388.7867628	1.64248606
389.6343733	1.730098181
390.4819838	1.647935498
391.3295942	1.656570207
392.1772047	1.670102699
393.0248151	1.663447369
393.8724256	1.700569495
394.7200361	1.632847219
395.5676465	1.520970285
396.415257	1.517095724
397.2628674	1.49621669
398.1104779	1.546177914
398.9580884	1.530337038
399.8056988	1.560453738
400.6533093	1.547034312
401.5009197	1.503681214
402.3485302	1.486664627
403.1961407	1.47508773
404.0437511	1.520405347
404.8913616	1.493223002
405.738972	1.485588632
406.5865825	1.479177118
407.434193	1.502950577
408.2818034	1.490632528
409.1294139	1.534473003
409.9770243	1.501707372
410.8246348	1.537721118
411.6722453	1.52098243
412.5198557	1.543846614
413.3674662	1.618802954
414.2150766	1.573389191
415.0626871	1.61906926
415.9102976	1.61017562
416.757908	1.683662248
417.6055185	1.67922502
418.4531289	1.662989935
419.3007394	1.644572449
420.1483499	1.63360269
420.9959603	1.664321177
421.8435708	1.661391092
422.6911812	1.649324893
423.5387917	1.59036847
424.3864022	1.551595507
