"Data Supplement to: ""A 3 million year index for North African humidity/aridity and the
implication of potential pan-African Humid periods"""															
															
Note: the dust proxy is from Larrasoa–a et al. (2003), rescaled to our chronology. It is
based on magnetic measurements (IRM@0.9 AF 120mT (A/m)) reflecting hematite variations,
which (at this site) reflect aeolian dust fluxes.																													
0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
								(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)				(see note)		
Site	Hole	Core	Section	Interval_cm	Depth below sfl_m	Splice depth_m	Age_ky	Al	Si	S	K	Ca	Ti	Mn	Fe	Rb	Sr	Zr	Ba	Age_ky	PC1	PC2	Age_ky	ODP 967 Dust proxy	Age_ky	ODP 967 wet-dry index
ODP 967	B	1	1	128	1.28	1.29	9.48	36751	80638	13355	8773	135588	3146	773	43517	43	707	114	221	9.48	-0.35	2.65	9.10	0.055	38	-2.190
ODP 967	B	1	1	129	1.29	1.30017	9.63	44701	90594	7967	10300	128819	3509	1517	41076	49	679	132	118	9.63	0.59	0.97	9.23	0.059	38.5	-2.426
ODP 967	B	1	1	130	1.3	1.31033	9.79	45504	102386	5158	10659	125083	3412	1437	36991	49	638	129	105	9.79	0.69	0.44	9.35	0.067	39	-2.850
ODP 967	B	1	1	131	1.31	1.3205	9.94	48375	103751	5315	10708	131046	3623	1230	39481	51	656	135	117	9.94	1.02	0.33	9.48	0.077	39.5	-2.046
ODP 967	B	1	1	134	1.34	1.351	10.41	48077	113611	4077	11469	140273	3472	1445	37714	50	723	138	68	10.41	0.90	-0.41	9.63	0.09	40	-1.819
ODP 967	B	1	1	135	1.35	1.36117	10.60	49367	113925	4636	11423	127508	3756	1010	39595	52	585	139	97	10.60	1.56	0.03	9.79	0.104	40.5	-1.714
ODP 967	B	1	1	136	1.36	1.37133	10.85	47008	109806	5111	11203	132391	3493	1056	39627	51	573	130	116	10.85	1.12	0.29	9.94	0.12	41	-1.750
ODP 967	B	1	1	137	1.37	1.3815	11.10	46262	111555	4828	11278	141762	3397	1082	37255	49	567	131	71	11.10	0.89	-0.03	10.10	0.136	41.5	-1.444
ODP 967	B	1	1	138	1.38	1.39167	11.34	46929	103963	5160	11156	135432	3411	1125	37465	50	553	134	98	11.34	0.97	0.28	10.25	0.154	42	-1.354
ODP 967	B	1	1	139	1.39	1.40183	11.59	44200	100309	3684	10571	145342	3272	1531	33378	48	617	132	92	11.59	0.28	-0.01	10.41	0.176	42.5	-1.654
ODP 967	B	1	1	140	1.4	1.412	11.84	45843	107637	3377	10895	149414	3307	1463	33930	48	597	132	54	11.84	0.44	-0.37	10.60	0.2	43	-1.804
ODP 967	B	1	1	141	1.41	1.42217	12.08	45197	99594	4288	10523	142868	3408	1214	33653	48	670	132	75	12.08	0.40	0.10	10.85	0.231	43.5	-1.871
ODP 967	B	1	1	142	1.42	1.43233	12.33	42261	101965	3815	10375	151480	3215	1178	33027	46	693	126	75	12.33	-0.02	0.03	11.10	0.266	44	-2.109
ODP 967	B	1	1	143	1.43	1.4425	12.58	45058	104246	3918	10610	141705	3201	1167	34205	47	657	124	83	12.58	0.29	0.11	11.34	0.305	44.5	-1.975
ODP 967	B	1	1	144	1.44	1.45267	12.83	44225	104099	3830	10549	152276	3212	1250	33592	47	669	129	66	12.83	0.15	-0.13	11.59	0.342	45	-2.141
ODP 967	B	1	1	145	1.45	1.46283	13.07	40905	100004	4347	10251	153210	3020	1212	33309	45	650	122	89	13.07	-0.21	0.24	11.84	0.374	45.5	-2.132
ODP 967	B	1	1	146	1.46	1.473	13.32	39595	94908	4663	10111	147222	3025	1234	31534	45	661	121	75	13.32	-0.34	0.43	12.08	0.398	46	-1.796
ODP 967	B	1	1	147	1.47	1.48317	13.57	39435	101351	4191	10346	174824	2672	1286	32784	43	707	115	92	13.57	-0.82	-0.02	12.33	0.413	46.5	-1.518
ODP 967	B	1	1	148	1.48	1.49333	13.81	37437	99382	4902	10173	165045	2697	1162	32673	42	752	107	82	13.81	-0.95	0.31	12.58	0.419	47	-1.585
ODP 967	B	1	1	149	1.49	1.5035	14.06	34927	89359	5362	9746	179799	2702	1228	27804	41	859	113	71	14.06	-1.54	0.27	12.83	0.416	47.5	-2.118
ODP 967	B	1	2	1	1.51	1.52383	14.56	41942	98793	2155	10297	156605	3048	1379	28287	45	613	130	53	14.56	-0.24	-0.28	13.07	0.405	48	-1.828
ODP 967	B	1	2	2	1.52	1.534	14.80	45283	109209	2003	11172	137603	3293	1172	31648	49	461	140	72	14.80	0.91	-0.27	13.32	0.385	48.5	-1.553
ODP 967	B	1	2	3	1.53	1.54417	15.05	60861	119669	2030	12405	99195	4507	981	39088	61	434	170	123	15.05	3.46	-0.47	15.30	0.509	49	-1.239
ODP 967	B	1	2	4	1.54	1.55433	15.30	61393	139532	2115	13285	87113	5113	857	45304	66	441	170	92	15.30	4.42	-0.85	15.54	0.54	49.5	-1.106
ODP 967	B	1	2	5	1.55	1.5645	15.54	67279	133269	2159	13299	78810	5593	882	46701	70	477	185	120	15.54	5.09	-0.83	15.79	0.542	50	-1.211
ODP 967	B	1	2	6	1.56	1.57467	15.79	71536	138905	2383	13682	75976	5624	833	48443	71	471	189	113	15.79	5.48	-1.01	16.04	0.524	50.5	-1.509
ODP 967	B	1	2	7	1.57	1.58483	16.04	57420	124987	2136	12510	93362	4466	874	38701	60	423	162	100	16.04	3.36	-0.40	16.29	0.501	51	-1.805
ODP 967	B	1	2	8	1.58	1.595	16.29	57817	130259	2040	12698	110549	4058	884	38523	58	414	157	118	16.29	3.01	-0.62	16.53	0.478	51.5	-2.057
ODP 967	B	1	2	9	1.59	1.60517	16.53	57435	128806	1918	12673	105550	4150	900	39986	59	385	159	117	16.53	3.18	-0.54	16.78	0.456	52	-2.340
ODP 967	B	1	2	10	1.6	1.61533	16.78	57161	133146	1845	12739	107831	4327	892	40588	59	390	163	73	16.78	3.29	-0.82	17.03	0.436	52.5	-2.252
ODP 967	B	1	2	11	1.61	1.6255	17.03	61129	119921	1796	12011	92102	4910	1173	43043	62	408	168	64	17.03	3.68	-0.60	17.28	0.417	53	-2.400
ODP 967	B	1	2	12	1.62	1.63567	17.28	62981	124241	1727	12317	95554	4895	982	41099	62	399	172	66	17.28	3.83	-0.77	17.52	0.404	53.5	-2.297
ODP 967	B	1	2	13	1.63	1.64583	17.52	57363	124573	1951	12013	94014	4487	986	40879	59	377	157	81	17.52	3.26	-0.39	17.77	0.398	54	-2.220
ODP 967	B	1	2	14	1.64	1.656	17.77	61901	122373	1965	12340	96319	4759	937	39038	63	370	171	96	17.77	3.75	-0.59	18.02	0.392	54.5	-2.442
ODP 967	B	1	2	15	1.65	1.66617	18.02	56313	129117	1667	12129	98542	4453	864	37255	58	370	156	59	18.02	3.13	-0.60	18.26	0.382	55	-2.339
ODP 967	B	1	2	16	1.66	1.67633	18.26	47283	118622	2148	11444	116459	3431	960	34119	51	371	133	96	18.26	1.55	-0.02	18.51	0.368	55.5	-2.289
ODP 967	B	1	2	18	1.68	1.69667	18.76	37430	102629	2122	9612	164183	2574	1138	29585	41	448	111	87	18.76	-0.77	0.13	18.76	0.353	56	-2.356
ODP 967	B	1	2	20	1.7	1.717	19.25	41730	104126	1890	9997	133564	3162	1169	28514	44	425	128	37	19.25	0.24	0.03	19.01	0.341	56.5	-2.066
ODP 967	B	1	2	23	1.73	1.7475	19.99	42649	100888	1884	9851	152622	2932	1241	28311	44	419	125	49	19.99	-0.15	-0.11	19.25	0.331	57	-1.740
ODP 967	B	1	2	24	1.74	1.75767	20.24	38442	98643	1970	9712	171901	2620	1260	27121	41	434	122	64	20.24	-0.78	-0.13	19.50	0.324	57.5	-2.015
ODP 967	B	1	2	25	1.75	1.76783	20.49	46389	109085	2032	11277	145475	3174	1179	28578	48	411	138	46	20.49	0.74	-0.46	19.75	0.321	58	-1.947
ODP 967	B	1	2	26	1.76	1.778	20.74	50890	115009	1879	12314	142299	3414	1176	30996	53	391	157	60	20.74	1.68	-0.81	19.99	0.32	58.5	-1.763
ODP 967	B	1	2	34	1.84	1.85933	22.75	38601	98865	2126	9538	163307	2605	1431	28373	40	421	117	50	22.75	-0.79	-0.03	20.24	0.322	59	-1.814
ODP 967	B	1	2	36	1.86	1.87967	23.27	42737	101187	2192	10026	140260	2988	1384	29667	45	390	122	47	23.27	0.07	0.04	20.49	0.327	59.5	-1.990
ODP 967	B	1	2	37	1.87	1.88983	23.54	42600	107128	1982	10188	139819	3092	1311	32944	46	355	126	72	23.54	0.40	0.01	20.74	0.334	60	-1.901
