depth	min95%	max95%	best	accrate
378	58690	64131	60835	244.21
379	58949	64389	61079	247.39
380	59199	64648	61326	250.62
381	59459	64909	61577	253.91
382	59709	65172	61831	257.25
383	59964	65426	62088	260.65
384	60236	65689	62349	264.11
385	60507	65941	62613	267.62
386	60799	66195	62880	271.18
387	61075	66451	63151	274.8
388	61349	66707	63426	278.47
389	61630	66965	63705	282.21
390	61916	67225	63987	285.99
391	62200	67486	64273	289.83
392	62492	67759	64563	293.73
393	62783	68035	64857	297.68
394	63079	68313	65154	301.68
395	63389	68596	65456	305.75
396	63694	68880	65762	309.86
397	64006	69165	66071	314.03
398	64332	69453	66386	318.26
399	64668	69742	66704	322.54
400	65008	70025	67026	326.85
401	65338	70309	67353	331.06
402	65697	70596	67684	335.15
403	66060	70886	68019	339.11
404	66393	71196	68359	342.94
405	66740	71499	68701	346.65
406	67104	71772	69048	350.23
407	67460	72084	69398	353.69
408	67834	72425	69752	357.02
409	68214	72765	70109	360.23
410	68593	73056	70469	363.31
411	68981	73362	70833	366.26
412	69353	73694	71199	369.09
413	69739	74032	71568	371.8
414	70132	74372	71940	374.37
415	70527	74699	72314	376.82
416	70892	75025	72691	379.15
417	71301	75350	73070	381.35
418	71698	75671	73451	383.42
419	72104	75998	73835	385.37
420	72507	76308	74220	387.19
421	72920	76667	74607	388.89
422	73327	76988	74996	390.46
423	73740	77340	75387	391.91
424	74140	77685	75779	393.23
425	74544	78071	76172	394.42
426	74951	78434	76566	395.49
427	75361	78784	76962	396.43
428	75769	79172	77358	397.25
429	76183	79522	77756	397.94
430	76596	79888	78153	398.51
431	77016	80238	78552	398.95
432	77455	80593	78951	399.26
433	77875	80964	79350	399.45
434	78284	81374	79750	399.51
435	78698	81754	80149	399.45
436	79105	82128	80549	399.26
437	79517	82503	80948	398.94
438	79907	82912	81347	398.5
439	80325	83303	81745	397.94
440	80698	83724	82143	397.25
441	81072	84112	82540	396.43
442	81450	84498	82937	395.48
443	81846	84863	83332	394.42
444	82271	85247	83727	393.22
445	82639	85652	84120	391.9
446	83015	86042	84512	390.48
447	83411	86426	84902	388.99
448	83782	86809	85291	387.42
449	84196	87189	85679	385.77
450	84580	87549	86065	384.05
451	84957	87927	86449	382.26
452	85324	88313	86831	380.4
453	85697	88688	87211	378.46
454	86070	89079	87590	376.45
455	86440	89472	87966	374.37
456	86785	89862	88341	372.23
457	87166	90244	88713	370.01
458	87483	90623	89083	367.72
459	87785	91002	89451	365.35
460	88113	91350	89816	362.92
461	88431	91736	90179	360.42
462	88739	92099	90539	357.84
463	89098	92459	90897	355.2
464	89414	92819	91252	352.48
465	89727	93193	91605	349.7
466	90062	93562	91954	346.84
467	90377	93932	92301	343.91
468	90693	94288	92645	340.91
469	91018	94639	92986	337.84
470	91343	94979	93324	334.7
471	91638	95314	93659	331.49
472	91960	95657	93990	328.21
473	92282	95998	94318	324.85
474	92602	96328	94643	321.43
475	92901	96681	94965	317.93
476	93211	97017	95283	314.39
477	93505	97339	95597	310.91
478	93783	97659	95908	307.5
479	94063	97984	96215	304.18
480	94362	98308	96520	300.93
481	94650	98616	96820	297.76
482	94925	98921	97118	294.68
483	95186	99251	97413	291.67
484	95469	99553	97705	288.74
485	95740	99860	97993	285.9
486	96025	100158	98279	283.13
487	96308	100463	98562	280.44
488	96570	100758	98843	277.83
489	96825	101057	99121	275.31
490	97069	101375	99396	272.86
491	97331	101687	99669	270.49
492	97591	101972	99939	268.21
493	97851	102254	100207	266
494	98118	102531	100473	263.87
495	98372	102819	100737	261.82
496	98629	103111	100999	259.85
497	98891	103392	101259	257.97
498	99139	103679	101517	256.16
499	99395	103942	101773	254.43
500	99649	104213	102028	252.78
501	99903	104494	102280	251.21
502	100155	104763	102532	249.73
503	100379	105027	102781	248.32
504	100627	105289	103030	246.99
505	100867	105548	103277	245.74
506	101122	105810	103522	244.57
507	101369	106070	103767	243.48
508	101617	106329	104010	242.47
509	101866	106586	104253	241.54
510	102114	106843	104494	240.69
511	102372	107097	104735	239.93
512	102623	107349	104975	239.24
513	102856	107603	105214	238.63
514	103100	107854	105453	238.1
515	103334	108105	105691	237.65
516	103566	108354	105929	237.28
517	103778	108601	106166	236.99
518	104037	108847	106403	236.78
519	104273	109091	106640	236.65
520	104510	109334	106876	236.6
521	104747	109575	107113	236.63
522	104981	109815	107350	236.74
523	105219	110076	107586	236.93
524	105458	110308	107823	237.2
525	105696	110525	108060	237.55
526	105950	110759	108298	237.97
527	106201	110992	108536	238.48
528	106453	111224	108774	239.07
529	106710	111455	109014	239.74
530	106974	111685	109253	240.49
531	107218	111914	109494	241.32
532	107479	112137	109735	242.23
533	107741	112361	109977	243.22
534	107975	112597	110221	244.28
535	108219	112854	110465	245.41
536	108457	113060	110710	246.58
537	108693	113297	110957	247.82
538	108938	113549	111205	249.11
539	109192	113801	111454	250.46
540	109438	114039	111704	251.86
541	109678	114306	111956	253.32
542	109932	114558	112209	254.83
543	110193	114811	112464	256.4
544	110456	115060	112721	258.02
545	110738	115318	112979	259.7
546	111002	115573	113238	261.44
547	111260	115844	113500	263.23
548	111523	116172	113763	265.08
549	111799	116499	114028	266.98
550	112079	116792	114295	268.93
551	112364	117086	114564	270.95
552	112655	117340	114835	273.02
553	112943	117581	115108	275.14
554	113225	117834	115383	277.32
555	113518	118110	115660	279.56
556	113812	118398	115940	281.85
557	114127	118648	116222	284.19
558	114410	118917	116506	286.6
559	114724	119250	116793	289.05
560	115043	119581	117082	291.57
561	115363	119900	117373	294.14
562	115686	120238	117667	296.76
563	116012	120569	117964	299.44
564	116342	120861	118264	302.18
565	116666	121196	118566	304.97
566	116998	121506	118871	307.81
567	117334	121799	119178	310.72
568	117648	122105	119489	313.67
569	117967	122442	119803	316.69
570	118312	122751	120120	319.76
571	118637	123075	120439	322.88
572	118971	123392	120762	326.06
573	119308	123709	121088	329.3
574	119642	124028	121418	332.59
575	119969	124349	121750	335.94
576	120302	124670	122086	339.34
577	120641	124993	122425	342.8
578	120992	125315	122768	346.31
579	121334	125617	123115	349.88
580	121711	125967	123464	353.5
581	122052	126304	123818	357.18
582	122397	126646	124175	360.92
583	122753	126985	124536	364.71
584	123104	127325	124901	368.56
585	123475	127651	125269	372.38
586	123871	127995	125642	375.88
587	124211	128324	126018	378.97
588	124589	128661	126397	381.66
589	124927	129011	126778	383.94
590	125244	129344	127162	385.82
591	125579	129676	127548	387.28
592	125956	130031	127935	388.35
593	126330	130439	128324	389.01
594	126708	130797	128713	389.26
595	127103	131143	129102	389.14
596	127489	131498	129491	388.77
597	127855	131853	129880	388.17
598	128260	132207	130268	387.35
599	128644	132563	130655	386.31
600	128995	132935	131042	385.04
601	129344	133297	131427	383.55
602	129658	133637	131810	381.84
603	129999	133992	132192	379.91
604	130343	134360	132572	377.76
605	130701	134722	132950	375.38
606	131068	135083	133325	372.78
607	131410	135452	133698	369.96
608	131748	135802	134068	366.91
609	132092	136151	134435	363.65
610	132437	136556	134798	360.2
611	132781	136955	135159	356.75
612	133098	137348	135515	353.33
613	133432	137677	135869	349.95
614	133775	138018	136219	346.61
615	134107	138404	136565	343.31
616	134417	138774	136909	340.04
617	134734	139121	137249	336.81
618	135048	139471	137585	333.61
619	135364	139813	137919	330.45
620	135699	140186	138249	327.33
621	136013	140550	138577	324.25
622	136314	140909	138901	321.2
623	136595	141252	139222	318.19
624	136913	141592	139540	315.22
625	137207	141926	139856	312.28
626	137512	142279	140168	309.38
627	137798	142611	140477	306.52
628	138121	142946	140784	303.69
629	138421	143256	141087	300.9
630	138710	143567	141388	298.15
631	138998	143885	141687	295.43
632	139263	144207	141982	292.75
633	139538	144525	142275	290.11
634	139839	144841	142565	287.51
635	140136	145154	142852	284.94
636	140431	145471	143137	282.41
637	140694	145786	143420	279.91
638	140957	146106	143700	277.45
639	141235	146419	143977	275.03
640	141497	146710	144252	272.65
641	141772	146994	144525	270.3
642	142041	147289	144795	267.99
643	142289	147583	145063	265.72
644	142549	147860	145329	263.48
645	142800	148134	145592	261.28
646	143050	148403	145853	259.12
647	143305	148668	146113	256.99
648	143559	148930	146370	254.9
649	143823	149198	146625	252.85
650	144085	149455	146877	250.84
651	144338	149721	147128	248.86
652	144605	149984	147377	246.92
653	144864	150243	147624	245.01
654	145122	150494	147869	243.14
655	145369	150749	148112	241.31
656	145599	151008	148353	239.52
657	145848	151256	148593	237.76
658	146096	151497	148831	236.04
659	146295	151737	149067	234.36
660	146509	151974	149301	232.71
