% Laskar et al. 2004, original file name "data_insolaout6HoGWM.txt".
%   Age (kyr)  Eccentricity      Obliquity     Precession
    -998.000       0.038470      -0.024092       0.415087
    -997.000       0.039755      -0.015352       0.416110
    -996.000       0.041056      -0.004698       0.416873
    -995.000       0.042323       0.007034       0.417360
    -994.000       0.043485       0.018892       0.417558
    -993.000       0.044716       0.029933       0.417462
    -992.000       0.045820       0.038991       0.417084
    -991.000       0.046878       0.045217       0.416432
    -990.000       0.047970       0.047962       0.415525
    -989.000       0.048931       0.046648       0.414393
    -988.000       0.049848       0.041283       0.413063
    -987.000       0.050778       0.032206       0.411571
    -986.000       0.051586       0.019886       0.409958
    -985.000       0.052392       0.005459       0.408264
    -984.000       0.053090      -0.009936       0.406536
    -983.000       0.053791      -0.024931       0.404823
    -982.000       0.054442      -0.038180       0.403169
    -981.000       0.054952      -0.048262       0.401622
    -980.000       0.055530      -0.054402       0.400226
    -979.000       0.055983      -0.055730       0.399015
    -978.000       0.056389      -0.052094       0.398022
    -977.000       0.056746      -0.043731       0.397275
    -976.000       0.057069      -0.031389       0.396784
    -975.000       0.057312      -0.015962       0.396560
    -974.000       0.057508       0.000847       0.396603
    -973.000       0.057669       0.017764       0.396901
    -972.000       0.057777       0.033195       0.397442
    -971.000       0.057799       0.045588       0.398210
    -970.000       0.057815       0.054013       0.399176
    -969.000       0.057814       0.057680       0.400317
    -968.000       0.057650       0.056166       0.401602
    -967.000       0.057562       0.049858       0.402996
    -966.000       0.057378       0.039288       0.404467
    -965.000       0.057147       0.025344       0.405980
    -964.000       0.056892       0.009458       0.407499
    -963.000       0.056586      -0.007026       0.408994
    -962.000       0.056263      -0.022782       0.410431
    -961.000       0.055906      -0.036293       0.411782
    -960.000       0.055435      -0.046548       0.413025
    -959.000       0.055079      -0.052857       0.414142
    -958.000       0.054536      -0.054535       0.415114
    -957.000       0.054020      -0.051735       0.415933
    -956.000       0.053522      -0.044800       0.416587
    -955.000       0.052903      -0.034232       0.417067
    -954.000       0.052295      -0.021171       0.417370
    -953.000       0.051677      -0.006776       0.417491
    -952.000       0.050991       0.007937       0.417427
    -951.000       0.050295       0.021492       0.417180
    -950.000       0.049542       0.032958       0.416751
    -949.000       0.048796       0.041419       0.416143
    -948.000       0.048022       0.046273       0.415367
    -947.000       0.047131       0.047125       0.414434
    -946.000       0.046360       0.044266       0.413358
    -945.000       0.045457       0.037793       0.412156
    -944.000       0.044545       0.028510       0.410845
    -943.000       0.043664       0.017294       0.409445
    -942.000       0.042712       0.005087       0.407978
    -941.000       0.041772      -0.007063       0.406465
    -940.000       0.040771      -0.018002       0.404932
    -939.000       0.039802      -0.027038       0.403403
    -938.000       0.038790      -0.033398       0.401906
    -937.000       0.037734      -0.036606       0.400469
