"NEW_depth_cm"	"Zr_Al"	"Ti_Al"	"Fe_Al"	"Ca_Ti"	"Rb_Ti"	"Si_Al"	"Br_cps"	"Sr_Ca"	"age_ka"
572	0.298231348068658	0.569812267641073	2.58636060527797	4.49814986029759	-1.27110230559629	2.25532214631356	1834	-2.37221436670867	120.426
573	0.341790219462307	0.630162661289108	2.70477891537477	4.65330944330298	-1.29570072623499	2.33472251823286	1763	-2.37766794165711	120.747
574	0.367724780125317	0.575364144903562	2.62967639778149	4.67904382863464	-1.29724258350399	2.25917260005873	1760	-2.35752153462085	121.071
575	0.273844704247246	0.562731838102138	2.54513046722616	4.68319746194919	-1.39395105780449	2.23998971444398	2187	-2.33540338350652	121.4
576	0.511937882560247	0.679138546431415	2.71937952791894	4.67113604349809	-1.20035179855898	2.29820348869268	2010	-2.34359294121778	121.732
577	0.324496045574497	0.599675587296827	2.67754326433797	4.56886523312102	-1.34411606224432	2.22184190856246	1876	-2.3128691449433	122.067
578	0.45714264841783	0.56235716801729	2.61516597713153	4.75958364337566	-1.20091135430745	2.27175338256265	1886	-2.33617347294942	122.407
579	0.475868748698134	0.635850348836185	2.71446098062193	4.65157655880225	-1.30650724450206	2.24910157932898	1921	-2.28314306788409	122.751
580	0.474903811078203	0.693565153397796	2.72018365004922	4.69405854390399	-1.48319376797444	2.31884021952611	1801	-2.35778086381552	123.099
581	0.640640441053229	0.692686244852314	2.79091062970353	4.74639836904129	-1.37940253508197	2.31020575145992	1707	-2.30499390696677	123.451
582	0.724186295527844	0.767255152713667	2.91274808549573	4.72955640509065	-0.893427632114705	2.21843560336786	1583	-2.07238871953354	123.807
585	0.661844720665784	0.923060219929402	2.95589250089838	4.60810939052727	-1.25576597375514	2.31185021498744	1724	-2.20885209082262	124.903
586	0.799015181638458	0.927898230354915	2.9999745314754	4.66184735565481	-1.27662802596221	2.31682334776814	1633	-2.17514436073625	125.277
587	0.752847445508838	0.773592545778685	2.96920551922056	4.81863419103972	-1.20357030884858	2.27954687030801	1339	-2.12575484837806	125.655
588	0.970083506838128	0.915247434961577	2.96330387307083	4.54363674840093	-1.17584058889681	2.31285542550157	1175	-2.12188706467885	126.036
589	0.841701874883082	0.869737646909409	2.90049587574993	4.46189863633773	-1.24822616731937	2.29325349429776	1154	-2.15611749210129	126.421
590	0.732789341027652	0.823034375015346	2.85071087061499	4.41261120768202	-1.33992521828443	2.29202308606514	1089	-2.21284533291712	126.809
591	0.498630350672172	0.690787496336765	2.73524167355585	4.43020992588821	-1.21403564010131	2.27320135960214	1406	-2.27027145846342	127.199
592	0.627235975610402	0.756913798918935	2.73199532527453	4.40839721841109	-1.31550130912879	2.30969283204812	1467	-2.28639773809678	127.59
593	0.577170363947061	0.747105652985571	2.72579810722562	4.42486421480682	-1.44025283354552	2.30705168691708	1297	-2.26795574825027	127.983
594	0.593653107719384	0.686335165117439	2.66834962628474	4.47536584960324	-1.35467383233104	2.27050784718497	1065	-2.23028099236326	128.376
595	0.719083609040301	0.834927020045505	2.81845509356808	4.41852203246278	-1.36601234432353	2.31070134341097	1268	-2.21412634287944	128.77
596	0.58419846393042	0.710148610129274	2.68524994411068	4.47520433946306	-1.39782382081123	2.24375498490282	1519	-2.23246660805689	129.163
597	0.69926120787764	0.810449100017488	2.79232414868142	4.40137230175422	-1.48642847695507	2.31263542884755	1094	-2.24048236282673	129.556
598	0.607890308372908	0.802474557778657	2.75813672503977	4.43887928896843	-1.22972047434821	2.25238606165144	1084	-2.22780208982897	129.949
599	0.803495237728811	0.888559318768629	2.83326361931326	4.47173720679849	-1.26620973869392	2.2937426951649	1111	-2.21754516878296	130.341
600	0.723079326094981	0.703858836154873	2.77924918434269	4.59276093644943	-1.30309541726492	2.27766168454159	1131	-2.25484836825277	130.731
601	0.480877711888551	0.599825883235786	2.56930819098672	4.57224049909101	-1.26592698511892	2.22730149533754	1098	-2.2735324930903	131.12
602	0.63758876706133	0.752593696163448	2.77058511507782	4.64892533217326	-1.35619734671824	2.2861171715983	1456	-2.30655386182682	131.508
603	0.584876994815976	0.667056999115034	2.69126994320566	4.69550293550979	-1.33671053843359	2.32561423008525	1087	-2.25785245016947	131.894
604	0.703391072639046	0.715143994145109	2.67721161268335	4.68735898066436	-1.30062688972159	2.30743328852929	1110	-2.26682970464431	132.278
605	0.591138579799413	0.648599585121559	2.6248009838186	4.64636360307278	-1.22326123614305	2.29631106021792	1172	-2.29488338658094	132.66
606	0.420548350319493	0.616581198155954	2.68239461233444	4.75450558768012	-1.25790331085131	2.28835052188774	1483	-2.32670909733487	133.039
607	0.430207259574179	0.602868330486625	2.58224591381911	4.68703526951835	-1.35241751025563	2.26828657228841	1290	-2.321487553743	133.416
608	0.509201587680256	0.66781203569404	2.64272104370179	4.5771494859749	-1.25276296849537	2.29389292907273	1259	-2.28474082428879	133.791
609	0.637071885340713	0.67342561114282	2.7139282488864	4.65386371156966	-1.23101692061004	2.3006672639781	1317	-2.30566092648491	134.162
610	0.47627958870548	0.706061000055528	2.73091170483155	4.72832768673894	-1.39677410233459	2.29418271048535	1462	-2.28957834295001	134.53
611	0.691328667601985	0.689142077809497	2.6765015327928	4.64703242729756	-1.33682688429268	2.27726728500976	1404	-2.3077696324047	134.894
612	0.761396281094052	0.784393690701755	2.68974236682674	4.59136305499067	-1.32541028674689	2.35656622173045	1557	-2.29757117498836	135.255
613	0.315023418056102	0.622858922752485	2.5716514667334	4.75486785273273	-1.45534169735455	2.29495119582781	1622	-2.38848316956853	135.613
