Depth sed [m]	Age [ka BP]	Ti/terr	K/terr	Terr/Ca
0.450	5.550	0.358	0.492	0.026
0.452	5.568	0.355	0.476	0.027
0.454	5.586	0.362	0.486	0.027
0.456	5.604	0.354	0.482	0.029
0.458	5.622	0.363	0.482	0.029
0.460	5.640	0.362	0.491	0.028
0.462	5.658	0.354	0.505	0.026
0.464	5.676	0.357	0.480	0.028
0.466	5.694	0.359	0.485	0.028
0.468	5.712	0.361	0.476	0.030
0.470	5.730	0.351	0.482	0.027
0.472	5.750	0.363	0.482	0.025
0.474	5.770	0.356	0.486	0.024
0.476	5.790	0.326	0.507	0.024
0.478	5.810	0.344	0.501	0.024
0.480	5.830	0.332	0.490	0.022
0.482	5.848	0.318	0.523	0.018
0.484	5.866	0.315	0.496	0.019
0.486	5.884	0.322	0.504	0.021
0.488	5.902	0.338	0.513	0.022
0.490	5.920	0.336	0.504	0.023
0.492	5.938	0.345	0.503	0.024
0.494	5.956	0.334	0.504	0.023
0.496	5.974	0.353	0.474	0.024
0.498	5.992	0.353	0.499	0.023
0.500	6.010	0.385	0.475	0.024
0.502	6.030	0.353	0.488	0.027
0.504	6.050	0.343	0.496	0.024
0.506	6.070	0.341	0.489	0.024
0.508	6.090	0.374	0.481	0.029
0.510	6.110	0.348	0.484	0.025
0.512	6.128	0.358	0.496	0.025
0.514	6.146	0.368	0.477	0.028
0.516	6.164	0.360	0.491	0.026
0.518	6.182	0.397	0.456	0.028
0.520	6.200	0.352	0.473	0.027
0.522	6.222	0.356	0.489	0.026
0.524	6.244	0.357	0.486	0.027
0.526	6.266	0.348	0.486	0.028
0.528	6.288	0.354	0.484	0.029
0.530	6.310	0.349	0.487	0.027
0.532	6.332	0.364	0.491	0.026
0.534	6.354	0.345	0.492	0.026
0.536	6.376	0.380	0.459	0.026
0.538	6.398	0.377	0.473	0.028
0.540	6.420	0.361	0.487	0.028
0.542	6.442	0.357	0.501	0.027
0.544	6.464	0.346	0.510	0.025
0.546	6.486	0.352	0.508	0.027
0.548	6.508	0.341	0.484	0.025
0.550	6.530	0.343	0.499	0.028
0.552	6.552	0.364	0.484	0.027
0.554	6.574	0.366	0.481	0.028
0.556	6.596	0.371	0.481	0.028
0.558	6.618	0.353	0.485	0.028
0.560	6.640	0.355	0.493	0.026
0.562	6.664	0.352	0.504	0.025
0.564	6.688	0.378	0.458	0.035
0.566	6.712	0.368	0.467	0.032
0.568	6.736	0.388	0.458	0.032
0.570	6.760	0.391	0.465	0.030
0.572	6.782	0.361	0.494	0.028
0.574	6.804	0.352	0.501	0.025
0.576	6.826	0.361	0.497	0.025
0.578	6.848	0.376	0.474	0.028
0.580	6.870	0.352	0.498	0.026
0.582	6.892	0.355	0.506	0.027
0.584	6.914	0.366	0.492	0.031
0.586	6.936	0.378	0.476	0.028
0.588	6.958	0.364	0.492	0.027
0.590	6.980	0.361	0.489	0.026
0.592	7.002	0.360	0.478	0.028
0.594	7.024	0.347	0.490	0.026
0.596	7.046	0.365	0.490	0.025
0.598	7.068	0.343	0.499	0.024
0.600	7.090	0.331	0.504	0.026
0.602	7.112	0.346	0.495	0.026
0.604	7.134	0.357	0.476	0.028
0.606	7.156	0.359	0.484	0.028
0.608	7.178	0.358	0.495	0.027
0.610	7.200	0.372	0.468	0.033
0.612	7.222	0.377	0.475	0.034
0.614	7.244	0.364	0.489	0.031
0.616	7.266	0.357	0.468	0.028
0.618	7.288	0.347	0.508	0.025
0.620	7.310	0.352	0.503	0.025
0.622	7.332	0.349	0.487	0.025
0.624	7.354	0.335	0.489	0.025
0.626	7.376	0.336	0.495	0.024
0.628	7.398	0.345	0.490	0.026
0.630	7.420	0.328	0.505	0.021
0.632	7.442	0.357	0.490	0.024
0.634	7.464	0.369	0.471	0.027
0.636	7.486	0.371	0.455	0.027
0.638	7.508	0.358	0.471	0.026
0.640	7.530	0.343	0.491	0.024
0.642	7.552	0.344	0.494	0.022
0.644	7.574	0.343	0.488	0.024
0.646	7.596	0.366	0.480	0.033
0.648	7.618	0.377	0.465	0.035
0.650	7.640	0.387	0.470	0.038
0.652	7.662	0.378	0.469	0.038
0.654	7.684	0.403	0.451	0.043
0.656	7.706	0.399	0.459	0.033
0.658	7.728	0.353	0.486	0.028
0.660	7.750	0.362	0.468	0.028
0.662	7.772	0.383	0.454	0.030
0.664	7.794	0.387	0.458	0.032
0.666	7.816	0.396	0.463	0.037
0.668	7.838	0.374	0.468	0.037
0.670	7.860	0.395	0.455	0.032
0.672	7.884	0.375	0.467	0.031
0.674	7.908	0.371	0.469	0.033
0.676	7.932	0.403	0.449	0.037
0.678	7.956	0.397	0.447	0.048
0.680	7.980	0.392	0.456	0.043
0.682	8.002	0.400	0.456	0.041
0.684	8.024	0.385	0.466	0.037
0.686	8.046	0.395	0.441	0.039
0.688	8.068	0.404	0.451	0.040
0.690	8.090	0.412	0.445	0.042
0.692	8.112	0.388	0.456	0.036
0.694	8.134	0.391	0.458	0.043
0.696	8.156	0.400	0.448	0.043
0.698	8.178	0.392	0.454	0.041
0.700	8.200	0.410	0.445	0.043
0.702	8.222	0.388	0.473	0.039
0.704	8.244	0.384	0.459	0.038
0.706	8.266	0.400	0.455	0.038
0.708	8.288	0.403	0.441	0.041
0.710	8.310	0.407	0.446	0.046
0.712	8.332	0.416	0.431	0.052
0.714	8.354	0.397	0.448	0.045
0.716	8.376	0.390	0.445	0.038
0.718	8.398	0.399	0.447	0.042
0.720	8.420	0.420	0.436	0.053
0.722	8.442	0.418	0.438	0.048
0.724	8.464	0.376	0.463	0.036
0.726	8.486	0.351	0.479	0.028
0.728	8.508	0.386	0.451	0.037
0.730	8.530	0.440	0.403	0.058
0.732	8.552	0.442	0.408	0.065
0.734	8.574	0.441	0.420	0.067
0.736	8.596	0.437	0.424	0.066
0.738	8.618	0.468	0.391	0.081
0.740	8.640	0.485	0.379	0.099
0.742	8.662	0.499	0.371	0.126
0.744	8.684	0.486	0.380	0.116
0.746	8.706	0.504	0.367	0.118
0.748	8.728	0.464	0.402	0.076
0.750	8.750	0.475	0.391	0.088
0.752	8.772	0.448	0.401	0.083
0.754	8.794	0.458	0.393	0.074
0.756	8.816	0.453	0.404	0.055
0.758	8.838	0.431	0.404	0.051
0.760	8.860	0.493	0.373	0.089
0.762	8.882	0.504	0.362	0.110
0.764	8.904	0.525	0.351	0.170
0.766	8.926	0.519	0.349	0.163
0.768	8.948	0.498	0.370	0.124
0.770	8.970	0.468	0.395	0.098
0.772	8.994	0.490	0.376	0.127
0.774	9.018	0.504	0.368	0.170
0.776	9.042	0.503	0.365	0.168
0.778	9.066	0.467	0.395	0.087
0.780	9.090	0.447	0.407	0.067
0.782	9.202	0.481	0.380	0.087
0.784	9.314	0.481	0.381	0.123
0.786	9.426	0.466	0.395	0.136
0.788	9.538	0.463	0.392	0.121
0.790	9.650	0.442	0.405	0.071
0.792	9.764	0.422	0.424	0.055
0.794	9.878	0.427	0.424	0.062
0.796	9.992	0.430	0.421	0.059
0.798	10.106	0.435	0.417	0.062
0.800	10.220	0.430	0.420	0.065
0.802	10.294	0.472	0.391	0.112
0.804	10.368	0.487	0.380	0.166
0.806	10.442	0.492	0.377	0.168
0.808	10.516	0.495	0.369	0.183
0.810	10.590	0.477	0.385	0.205
0.812	10.666	0.477	0.383	0.187
