MCD	Age (ka BP)	Terrigenous %
40.15	1048.22	36.97
40.2	1050.17	37.47
40.25	1052.12	40.99
40.3	1054.07	44.01
40.4	1057.97	32.95
40.45	1059.93	26.92
40.5	1061.88	20.38
40.55	1063.83	15.86
40.6	1065.78	14.85
40.65	1067.8	16.36
40.7	1069.93	21.39
40.75	1072.06	24.91
40.8	1074.18	24.91
40.85	1076.31	22.39
40.9	1078.43	20.38
40.95	1080.56	19.38
41	1082.68	17.37
41.05	1084.81	18.87
41.1	1086.94	24.91
41.15	1089.06	25.91
41.2	1091.2	27.92
41.25	1093.33	29.93
41.3	1095.45	29.93
41.35	1097.58	29.93
41.4	1099.7	28.42
41.45	1101.83	28.42
41.5	1103.95	25.91
41.55	1106.08	23.4
41.6	1108.21	22.39
41.65	1110.33	20.38
41.7	1111.63	18.37
41.75	1112.88	18.87
41.8	1114.14	19.88
41.9	1116.64	31.94
41.95	1117.91	33.45
42	1119.16	36.97
42.05	1120.42	37.98
42.1	1121.67	32.45
42.15	1122.93	32.95
42.2	1124.18	36.47
42.25	1125.44	34.46
42.3	1126.69	32.45
42.35	1127.95	34.46
42.4	1129.2	34.46
42.45	1130.45	35.96
42.5	1131.71	35.96
42.55	1132.96	35.46
42.6	1134.22	32.45
42.65	1135.47	28.42
42.7	1136.74	27.92
42.75	1137.99	26.92
42.8	1139.25	24.91
42.85	1140.5	22.39
42.9	1141.76	23.4
42.95	1143.01	25.41
43	1144.26	23.9
43.05	1145.52	23.9
43.1	1146.77	24.4
43.15	1148.03	24.4
43.2	1149.28	22.9
43.25	1150.54	20.88
43.3	1152.16	17.87
43.4	1157.66	20.88
43.45	1160.4	20.38
43.5	1163.15	20.38
43.55	1165.89	20.88
43.6	1168.63	21.89
43.65	1171.37	21.39
43.7	1174.11	19.88
43.75	1176.85	19.38
43.8	1179.59	17.37
43.85	1182.34	16.36
43.9	1184.22	18.37
43.95	1185.9	23.4
44	1187.58	24.4
44.05	1189.26	22.9
44.1	1190.94	23.9
44.15	1192.63	26.41
44.2	1194.31	25.41
44.25	1195.98	23.4
44.3	1197.66	22.9
44.35	1199.34	22.39
44.4	1201.02	21.89
44.45	1202.7	21.89
44.5	1204.38	21.39
