Age Ti/Ca_kaBP	KL09_TiCa	Age Hem_kaBP	KL09_Hem	Age MGSQ_kaBP	MGSG		time_kyr	Sanbao sim	MGSQ sim
0.807082	0.011	48.6613	0.893	5.97043	0.367077		12.875	0.372	0.251644208
0.814696	0.011	49.0283	0.89	6.04172	0.365585		13	0.841	0.253179634
0.822309	0.008	49.3954	0.892	6.08639	0.364651		13.125	0.628	0.254396618
0.829923	0.01	49.7625	0.895	6.12727	0.363796		13.25	0.842	0.255406388
0.837538	0.01	50.1294	0.894	6.1748	0.362802		13.375	0.923	0.255909268
0.845152	0.012	50.4965	0.887	6.25084	0.361211		13.5	0.765	0.255646646
0.852766	0.011	50.8636	0.874	6.32498	0.359661		13.625	0.862	0.254477379
0.86038	0.011	51.2306	0.857	6.41243	0.357832		13.75	0.817	0.252508778
0.867993	0.011	51.5977	0.835	6.46947	0.356639		13.875	0.676	0.25048808
0.875607	0.012	51.9647	0.809	6.54551	0.355048		14	0.387	0.249309358
0.883221	0.01	52.3318	0.779	6.60825	0.353736		14.125	0.229	0.249054005
0.890836	0.006	54.167	0.731	6.6919	0.352502		14.25	0.642	0.248960144
0.89845	0.013	54.9011	0.66	6.75463	0.352042		14.375	0.49	0.248454888
0.906064	0.011	55.6347	0.729	6.81737	0.351581		14.5	-0.136	0.247636396
0.913677	0.01	56.3683	0.41	6.87345	0.35117		14.625	-0.638	0.246840591
0.921291	0.011	57.1019	0.47	6.93619	0.350709		14.75	-0.993	0.246191014
0.928905	0.01	57.8355	0.657	6.99892	0.350249		14.875	-1.164	0.24542
0.936519	0.011	58.5689	0.758	7.07877	0.349663		15	-1.271	0.244071151
0.944134	0.012	59.3025	0.885	7.14626	0.349167		15.125	-1.192	0.241796665
0.951748	0.013	60.0361	0.749	7.209	0.348707		15.25	-1.069	0.238800806
0.959362	0.012	60.7697	0.588	7.26983	0.34826		15.375	-1.303	0.235945364
0.966975	0.012	61.5031	0.729	7.32782	0.347835		15.5	-0.972	0.23395305
0.974589	0.013	62.2367	0.858	7.39055	0.347374		15.625	-1.378	0.232699292
0.982203	0.013	62.9703	0.598	7.45424	0.346907		15.75	-1.35	0.231832799
0.989817	0.015	63.7039	0.521	7.53694	0.3463		15.875	-1.591	0.231481534
