Depth [m]	Interpolated Bchron Age	Zr/Rb 	Ca/Ti	Rb/K
1.85744	1230.464	5.056020538	0.239841745	3.511339746
1.86844	1237.064	5.579631672	0.220472844	3.851404272
1.87943	1242.2435	5.806097126	0.252376031	2.347721526
1.89044	1247.764	6.038223554	0.231446312	2.137253134
1.90144	1254.292	5.993669758	0.238933528	2.57371152
1.91244	1260.22	5.258917279	0.262748172	2.122328838
1.92344	1265.72	4.855821516	0.254507136	2.777931104
1.93443	1271.215	4.720559871	0.22914083	3.387781654
1.94544	1277.808	4.649093012	0.234693802	3.111028494
1.95644	1283.898	5.780546554	0.242257962	2.408650556
1.96744	1289.592	5.71365177	0.228764967	3.597595668
1.97844	1295.22	5.525480633	0.226055873	3.706979071
1.98944	1301.192	5.132540654	0.230432433	2.879544713
2.00044	1306.22	5.687058042	0.255300188	1.98399517
2.01144	1311.648	6.10027059	0.229335888	1.968197312
2.02244	1316.842	5.841039022	0.237671648	1.743421364
2.03344	1323.064	4.747320093	0.23705508	2.175614443
2.04443	1329.8795	5.641330355	0.234449435	2.065327432
2.05544	1335.948	4.293327659	0.227600087	3.090611522
2.06643	1341.215	5.428641886	0.262820466	2.404050665
2.07748	1346.366	5.112702922	0.278939074	1.621058355
2.08846	1351.307	4.818425618	0.303410753	1.59912332
2.10343	1359.715	4.902141845	0.2814794	1.778149036
2.11444	1365.22	4.755162391	0.305572841	2.116394524
2.12545	1370.4525	4.607333464	0.30032738	1.970695412
2.13649	1376.0695	5.559724284	0.234778963	2.728523827
2.14744	1381.72	5.620467187	0.212729685	3.886276593
2.15846	1387.23	4.616252428	0.212399219	5.163608525
2.16945	1394.615	5.269523273	0.235293922	5.064512312
2.18043	1400.258	4.788468208	0.244896386	3.593886418
2.19144	1406.72	5.613091673	0.242047268	2.80833987
2.20244	1412.464	4.752130139	0.245093364	2.970199013
2.21345	1418.725	4.924161079	0.242503902	2.937053287
2.22444	1424.664	5.211632911	0.24500618	2.853050279
2.23544	1430.72	5.240389387	0.246800505	2.495841062
2.24643	1437.501	5.589403564	0.25078714	3.138955042
2.25743	1444.458	5.028767146	0.243219907	3.433517246
2.26844	1450.22	5.137873812	0.246183136	2.538023581
2.27944	1456.664	4.771354333	0.220047906	3.549196534
2.29044	1462.264	5.187562289	0.247420252	5.156938837
2.30144	1468.864	5.984200611	0.232492026	5.573531252
2.31244	1475.464	5.085834282	0.236951445	2.905532376
2.32348	1482.088	5.149071338	0.23293299	2.790084794
2.33444	1488.442	5.051257548	0.238592983	2.794677416
2.34543	1495.0295	4.747554771	0.238971257	3.653303147
2.35644	1501.22	4.727607793	0.232985704	3.338784943
2.36744	1507.092	6.489993707	0.221246962	3.416043885
2.37843	1513.1365	5.196256683	0.234883261	2.780064427
2.38944	1519.664	5.633718931	0.235128564	2.50617229
2.40044	1526.22	5.320856797	0.234339548	2.450814968
2.41144	1531.864	5.214297754	0.231748976	2.784917018
2.42247	1538.3585	4.892656013	0.224716486	3.614098462
2.43343	1544.3865	5.269124141	0.225270764	5.970079524
2.44443	1550.4365	5.826739598	0.2235132	4.700100319
2.45543	1557.0295	4.861115771	0.187783069	12.04227651
2.46643	1563.858	4.163568301	0.206381736	19.92837133
2.47744	1570.464	4.917043849	0.182015154	25.75613013
2.48844	1577.908	5.138457556	0.210652251	7.774443046
2.49944	1584.192	4.652809787	0.198263933	11.69488925
2.51047	1590.329	4.796975907	0.200869891	10.3179943
2.52144	1598.008	5.257809864	0.212553593	5.131612841
2.53244	1605.708	4.59810058	0.209196693	13.47530091
2.54343	1613.058	4.844431279	0.217532555	10.74235203
2.55444	1619.664	4.676811526	0.205969528	7.45606857
2.56544	1626.808	4.992168948	0.190017167	14.0626833
2.57644	1634.508	4.817216428	0.185860284	57.29417402
2.58744	1642.208	5.274890195	0.172599368	34.64905107
2.59844	1649.908	4.954953271	0.189097693	11.11315294
2.60948	1660.006	4.89792986	0.20885242	14.58735006
2.62043	1669.9085	5.894177324	0.198159815	10.8970667
2.63144	1680.8	5.288045407	0.198342127	7.180728312
2.64244	1698.698	4.98394473	0.212478895	3.944162798
2.65344	1739.232	4.926000387	0.223519804	3.673534005
2.66444	1809.964	5.043965638	0.219625763	3.916663092
2.67544	1905.592	4.20662864	0.218277691	4.935203661
2.68644	2019.484	5.724656638	0.216491446	3.04694969
2.69743	2142.959	4.234499805	0.206283502	4.534467765
2.70844	2266.528	4.758419573	0.231372769	2.888570323
2.71944	2391.616	4.89840353	0.234985016	2.917604439
2.73043	2517.289	4.521863422	0.21437939	3.654933428
2.74144	2652.856	5.101388988	0.219687719	3.590285546
2.75244	2786.572	4.510476765	0.204095882	6.341315873
2.76344	2903.992	4.579476826	0.200386885	7.129893413
2.77443	2988.479	4.135320038	0.203721878	8.110476766
2.78543	3037.548	4.436369524	0.205853387	5.054460228
2.79647	3071.469	4.23440704	0.209584696	5.492285051
2.80744	3098.856	4.582313272	0.218754052	3.61627456
2.81844	3121.88	5.516569107	0.224483539	3.582142493
2.82944	3143.88	5.212834805	0.222462446	2.761336072
2.84044	3164.792	4.601274389	0.229632351	3.001101137
2.85144	3184.736	5.130874531	0.223951364	3.574333776
2.86243	3205.374	4.745232847	0.227612246	2.743420474
2.87344	3225.536	4.781990011	0.215322393	3.041132421
2.88445	3246.01	5.145303237	0.237238843	2.932481336
2.89547	3266.393	5.986755741	0.226370714	2.099990587
2.90644	3286.592	4.653127002	0.236440408	2.710210674
2.91744	3307.136	4.498764695	0.224175219	2.612943058
2.92843	3327.174	5.225540141	0.226480342	2.181561584
2.93944	3347.936	5.577407997	0.225452075	2.066963623
2.95043	3368.86	5.047455029	0.216154086	2.366611499
2.96144	3390.592	6.73661614	0.213857003	1.861622356
2.97244	3410.636	6.720273976	0.22181461	1.690515742
2.98347	3431.593	5.266026473	0.220853463	2.105850413
2.99444	3452.436	4.646653533	0.233700275	2.330185689
