anu	ins_chb_s	ins_chb_a	ins_tibet_s
129570	457.533387752121	409.51073666958	523.199661884799
129580	457.605307142223	409.46311020693	523.117821933334
129590	457.67704934445	409.415663609431	523.035842673753
129600	457.748613831335	409.368396862332	522.953724959312
129610	457.820000077038	409.321309950362	522.871469642398
129620	457.891207557102	409.274402857389	522.789077574182
129630	457.962235748477	409.227675566747	522.706549605017
129640	458.033084129721	409.181128061069	522.62388658408
129650	458.103752180773	409.134760322182	522.541089359512
129660	458.174239383099	409.088572331535	522.458158778505
129670	458.244545219566	409.042564069642	522.375095687099
129680	458.314669174727	408.996735516529	522.291900930298
129690	458.384610734456	408.951086651504	522.208575352067
129700	458.454369386106	408.905617453274	522.125119795185
129710	458.523944618736	408.860327899979	522.041535101451
129720	458.593335922658	408.815217969007	521.957822111577
129730	458.662542790036	408.770287637156	521.873981665089
129740	458.731564714165	408.725536880756	521.790014600439
129750	458.800401190162	408.68096567523	521.705921754988
129760	458.869051714518	408.636573995763	521.62170396496
129770	458.937515785247	408.592361816695	521.537362065452
129780	459.005792902096	408.548329111787	521.452896890415
129790	459.073882566185	408.504475854281	521.368309272638
129800	459.141784280127	408.460802016888	521.283600043813
129810	459.209497548259	408.41730757165	521.19877003443
129820	459.277021876361	408.373992490066	521.113820073879
129830	459.344356771833	408.330856742969	521.028750990291
129840	459.411501743606	408.287900300839	520.943563610667
129850	459.478456302172	408.245123133472	520.858258760846
129860	459.545219959632	408.202525210176	520.772837265472
129870	459.611792229638	408.160106499586	520.687299947948
129880	459.678172627475	408.117866969957	520.601647630587
129890	459.744360669959	408.075806588905	520.515881134368
129900	459.81035587548	408.033925323585	520.430001279102
129910	459.876157764101	407.992223140607	520.344008883422
129920	459.941765857451	407.950700005988	520.257904764756
129930	460.007179678782	407.909355885327	520.171689739223
129940	460.072398752877	407.868190743681	520.08536462169
129950	460.137422606243	407.827204545682	519.998930226008
129960	460.202250766913	407.7863972553	519.912387364433
129970	460.266882764611	407.745768836137	519.825736848236
129980	460.33131813064	407.705319251235	519.738979487379
129990	460.395556398049	407.66504846324	519.652116090533
130000	460.459597101287	407.624956434216	519.565147465063
130010	460.523657958717	407.584943174369	519.476641668766
130020	460.587518403009	407.54511005428	519.388032076473
130030	460.651177969025	407.505457033603	519.299319502735
130040	460.714636192889	407.4659840714	519.210504760704
130050	460.777892612834	407.426691126447	519.121588662208
130060	460.840946768622	407.387578156857	519.032572017819
130070	460.903798201566	407.348645120474	518.943455636686
130080	460.966446455003	407.309891974636	518.854240326697
130090	461.028891073697	407.271318676191	518.764926894297
130100	461.091131604192	407.232925181675	518.675516144694
130110	461.153167594838	407.194711447128	518.58600888175
130120	461.214998595638	407.156677428101	518.496405907818
130130	461.276624158222	407.118823079888	518.406708024075
130140	461.338043836176	407.08114835728	518.316916030188
130150	461.399257184626	407.043653214601	518.22703072457
130160	461.460263760481	407.00633760593	518.137052904189
130170	461.521063122425	406.969201484697	518.046983364678
130180	461.581654830797	406.932244804306	517.956822900259
130190	461.64203844784	406.895467517379	517.866572303781
130200	461.702213537428	406.858869576422	517.776232366709
130210	461.762179665131	406.822450933469	517.685803879108
130220	461.821936398531	406.786211540173	517.595287629676
130230	461.881483306594	406.750151347794	517.504684405683
130240	461.940819960421	406.714270307303	517.413994992997
130250	461.999945932653	406.678568369235	517.323220176093
130260	462.058860797882	406.643045483758	517.232360738009
130270	462.11756413227	406.607701600814	517.141417460396
130280	462.17605551388	406.572536669851	517.050391123499
130290	462.23433452256	406.537550640047	516.959282506148
130300	462.292400740036	406.502743460151	516.868092385724
130310	462.35025374954	406.468115078731	516.77682153816
130320	462.407893136498	406.433665443883	516.685470738
130330	462.46531848781	406.399394503381	516.59404075834
130340	462.522529392268	406.365302204769	516.502532370917
130350	462.579525440686	406.33138849522	516.410946345887
130360	462.636306225339	406.297653321594	516.319283452086
130370	462.692871340571	406.264096630429	516.22754445686
130380	462.749220382493	406.230718367971	516.135730126067
130390	462.80535294893	406.197518480133	516.043841224252
130400	462.861268639774	406.164496912475	515.951878514365
130410	462.916967056428	406.13165361051	515.859842757959
130420	462.972447802471	406.098988519148	515.767734715134
130430	463.027710482942	406.066501583226	515.675555144531
130440	463.082754705164	406.034192747137	515.583304803357
130450	463.137580077948	406.00206195516	515.490984447306
130460	463.19218621202	405.970109151158	515.39859483065
130470	463.246572720178	405.9383342788	515.306136706138
130480	463.300739216842	405.906737281465	515.21361082517
130490	463.354685318366	405.875318102262	515.121017937512
130500	463.408410642949	405.844076684047	515.028358791575
130510	463.4619148107	405.813012969448	514.935634134249
130520	463.515197443625	405.782126900731	514.842844710966
130530	463.568258165515	405.751418420081	514.749991265697
130540	463.621096602026	405.720887469248	514.65707454084
130550	463.67371238089	405.69053398997	514.564095277403
130560	463.726105131541	405.660357923515	514.471054214997
130570	463.778274485233	405.630359211061	514.377952091472
130580	463.830220075323	405.600537793436	514.284789643487
130590	463.881941536958	405.570893611429	514.191567605991
